rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1585,Jha'Quan Jackson,TEN,WR,,"$845,917",0.845917,2024
1586,Darius Muasau,NYG,LB/ILB,,"$845,228",0.845228,2024
1587,Malik Washington,MIA,WR,,"$844,890",0.84489,2024
1588,Johnny Wilson,PHI,WR,,"$844,252",0.844252,2024
1589,Jase McClellan,ATL,RB,,"$843,592",0.843592,2024
1590,Casey Washington,ATL,WR,,"$843,399",0.843399,2024
1591,Jamal Hill,HOU,LB/OLB,,"$842,348",0.842348,2024
1592,Mekhi Wingo,DET,DL/DT,,"$841,700",0.8417,2024
1593,Joe Milton III,NE,QB,,"$840,829",0.840829,2024
1594,Tanner McLachlan,CIN,TE,,"$840,764",0.840764,2024
1595,Tyler Davis,LAR,DL/DT,,"$840,638",0.840638,2024
1596,Khristian Boyd,NO,DL/DT,,"$839,707",0.839707,2024
1597,Kurt Hinish,HOU,DL/DT,,"$838,334",0.838334,2024
1598,Travis Glover,GB,LT,,"$837,845",0.837845,2024
1599,Will Reichard,MIN,K,,"$837,655",0.837655,2024
1600,Emari Demercado,ARI,RB,,"$836,747",0.836747,2024
1601,Michael Jerrell,SEA,RT,,"$835,015",0.835015,2024
1602,Dylan Laube,LV,RB,,"$833,798",0.833798,2024
1603,Ryan Flournoy,DAL,WR,,"$829,597",0.829597,2024
1604,Cedric Johnson,CIN,ED/DE,,"$829,597",0.829597,2024
1605,Joshua Karty,LAR,K,,"$829,597",0.829597,2024
1606,Elijah Klein,TB,G,,"$829,597",0.829597,2024
1607,Beaux Limmer,LAR,C,,"$829,597",0.829597,2024
1608,Cam Little,JAX,K,,"$829,597",0.829597,2024
1609,Christian Mahogany,DET,G,,"$829,597",0.829597,2024
1610,Jordan Whittington,LAR,WR,,"$829,597",0.829597,2024
1611,Daijahn Anthony,CIN,S,,"$824,446",0.824446,2024
1612,Brenden Rice,LAC,WR,,"$823,648",0.823648,2024
1613,Nick Samac,BAL,C,,"$822,461",0.822461,2024
1614,Michael Jurgens,MIN,C,,"$822,185",0.822185,2024
1615,Jaheim Bell,NE,TE,,"$821,648",0.821648,2024
1616,Levi Drake Rodriguez,MIN,DL/DT,,"$821,497",0.821497,2024
1617,Cooper Hodges,JAX,G,,"$821,372",0.821372,2024
1618,Devaughn Vele,DEN,WR,,"$821,120",0.82112,2024
1619,Myles Cole,JAX,ED/DE,,"$821,019",0.821019,2024
1620,Calvin Anderson,PIT,LT,,"$820,833",0.820833,2024
1621,Kareem Hunt,KC,RB,,"$820,833",0.820833,2024
